sectionid,semester,department,sectionname,courseid,facultyid
# Hashtag is comment when read by custom parser.
0,1,cse,A,0,4
0,1,cse,A,1,24
0,1,cse,A,2,228
0,1,cse,A,3,88
0,1,cse,A,4,209
0,1,cse,A,5,131
0,1,cse,A,6,240
#
1,1,cse,B,0,8
1,1,cse,B,1,27
1,1,cse,B,2,226
1,1,cse,B,3,91
1,1,cse,B,4,210
1,1,cse,B,5,131
1,1,cse,B,6,141
#
2,1,eee,A,7,78
2,1,eee,A,8,156
2,1,eee,A,2,226
2,1,eee,A,3,76
2,1,eee,A,4,210
2,1,eee,A,5,80
2,1,eee,A,6,239
#
3,1,eee,B,7,86
3,1,eee,B,8,159
3,1,eee,B,2,225
3,1,eee,B,3,77
3,1,eee,B,4,211
3,1,eee,B,5,81
3,1,eee,B,6,239